Mention,ConceptCode,ConceptName,SemanticType,Start
Magnetoencephalography,C16811,Magnetoencephalography,Diagnostic Procedure,14
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,38
effective,C49287,Effective,Qualitative Concept,49
non,C25594,Negation,Functional Concept,60
invasive,C14159,Invasive,Qualitative Concept,64
method,C71460,Method,Conceptual Entity,73
zones,C43428,Zone,Spatial Concept,109
evaluation,C25214,Evaluation,Activity,163
Many,C78728,Many,Qualitative Concept,175
studies,C15206,Clinical Study,Research Activity,180
have,C101282,Have,Classification,188
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,220
evaluation,C25214,Evaluation,Activity,224
invasive,C14159,Invasive,Qualitative Concept,247
intracranial,C84351,Intracranial,Classification,256
EEG,C38054,Electroencephalography,Diagnostic Procedure,295
zones,C43428,Zone,Spatial Concept,340
al,C111127,Aluminum Measurement,Laboratory Procedure,360
al,C111127,Aluminum Measurement,Laboratory Procedure,381
al,C111127,Aluminum Measurement,Laboratory Procedure,407
al,C111127,Aluminum Measurement,Laboratory Procedure,430
al,C111127,Aluminum Measurement,Laboratory Procedure,450
al al,C111127,Aluminum Measurement,Laboratory Procedure,485
al al,C111127,Aluminum Measurement,Laboratory Procedure,582
al al al,C111127,Aluminum Measurement,Laboratory Procedure,582
al al,C111127,Aluminum Measurement,Laboratory Procedure,604
al,C111127,Aluminum Measurement,Laboratory Procedure,624
Most,C25258,Most,Qualitative Concept,657
studies,C15206,Clinical Study,Research Activity,671
have,C101282,Have,Classification,679
benefits,C25387,Benefits,Idea or Concept,697
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,709
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,728
little,C76350,Little,Qualitative Concept,742
reported,C25375,Report,Intellectual Product,758
usefulness,C107498,Useful,Qualitative Concept,781
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,795
patients,C53691,Veterinary Patient,Organism,802
mesial,C81170,Midline,Spatial Concept,816
temporal lobe,C12353,Temporal Lobe,"Body Part, Organ, or Organ Component",823
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,837
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,856
surgery,C17173,Surgery,Biomedical Occupation or Discipline,865
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,882
detects,C111567,Detectable,Clinical Attribute,900
discharges,C26416,Mouse Discharge,Tissue,921
superficial,C25239,Superficial,Spatial Concept,945
areas,C16632,Geographic Area,Geographic Area,957
lateral,C25230,Lateral,Spatial Concept,971
al,C111127,Aluminum Measurement,Laboratory Procedure,1006
Park,C53542,Park,Geographic Area,1040
al,C111127,Aluminum Measurement,Laboratory Procedure,1048
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,1060
specify,C25685,Specify,Conceptual Entity,1067
regions,C41129,Region,Spatial Concept,1089
sitting,C62122,Sitting,Spatial Concept,1097
deep,C25240,Deep,Spatial Concept,1105
brain,C12439,Brain,"Body Part, Organ, or Organ Component",1117
difficult,C62189,Difficulty,Conceptual Entity,1144
may,C106184,May,Qualitative Concept,1160
due,C45263,Due,Qualitative Concept,1167
reduction,C25640,Reduced,Qualitative Concept,1174
signal,C43382,Signal,Conceptual Entity,1200
detected,C25481,Detected,Conceptual Entity,1217
long,C25248,Long,Qualitative Concept,1231
distance,C25167,Distance,Quantitative Concept,1236
al,C111127,Aluminum Measurement,Laboratory Procedure,1273
al,C111127,Aluminum Measurement,Laboratory Procedure,1322
al,C111127,Aluminum Measurement,Laboratory Procedure,1346
al,C111127,Aluminum Measurement,Laboratory Procedure,1407
al,C111127,Aluminum Measurement,Laboratory Procedure,1456
al,C111127,Aluminum Measurement,Laboratory Procedure,1491
al,C111127,Aluminum Measurement,Laboratory Procedure,1513
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,1582
electrocorticography,C116664,Electrocorticography,Diagnostic Procedure,1590
implanted,C41075,Implant,Medical Device,1616
subdural,C127831,Subdural,Spatial Concept,1626
electrodes,C49936,Electrode Device Component,Manufactured Object,1635
reported,C25375,Report,Intellectual Product,1652
discharges,C26416,Mouse Discharge,Tissue,1679
lateral,C25230,Lateral,Spatial Concept,1725
temporal lobe,C12353,Temporal Lobe,"Body Part, Organ, or Organ Component",1733
cortical,C12443,Cerebral Cortex,"Body Part, Organ, or Organ Component",1761
areas,C16632,Geographic Area,Geographic Area,1770
cm,C49668,Centimeter,Quantitative Concept,1790
detected,C25481,Detected,Conceptual Entity,1800
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,1812
al,C111127,Aluminum Measurement,Laboratory Procedure,1828
result,C20200,Outcome,Finding,1845
contrasts,C390,Contrast Agent,"Indicator, Reagent, or Diagnostic Aid",1852
findings,C61036,Investigation Finding,Finding,1871
al,C111127,Aluminum Measurement,Laboratory Procedure,1892
source,C25683,Source,Qualitative Concept,1908
