Mention,ConceptCode,ConceptName,SemanticType,Start
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,77
markers,C16342,Biomarker,Functional Concept,82
integral,C94928,Mathematical Integral,Quantitative Concept,94
computational,C19233,Computational Technique,Activity,106
pathology,C18189,Pathology,Biomedical Occupation or Discipline,120
discipline,C17716,Discipline,Activity,143
al,C111127,Aluminum Measurement,Laboratory Procedure,164
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,175
markers,C16342,Biomarker,Functional Concept,179
key,C46002,Key,Conceptual Entity,191
tools,C84337,Scientific Equipment,Manufactured Object,195
clinical research,C15206,Clinical Study,Research Activity,204
research research basic cancer research,C16085,Basic Cancer Research,Research Activity,213
research research basic science research,C15714,Basic Research,Research Activity,213
decision,C53285,Decision,Activity,236
al,C111127,Aluminum Measurement,Laboratory Procedure,262
diagnostic,C25482,Diagnostic,Qualitative Concept,312
treatment,C15368,Treatment,Health Care Activity,327
evaluation,C25214,Evaluation,Activity,337
prognosis,C17013,Prognosis,Idea or Concept,352
al,C111127,Aluminum Measurement,Laboratory Procedure,374
al,C111127,Aluminum Measurement,Laboratory Procedure,395
al,C111127,Aluminum Measurement,Laboratory Procedure,419
translational research,C15862,Translational Research,Research Activity,431
drug discovery,C15802,Drug Discovery,Research Activity,455
drug development,C15760,Drug Development,Research Activity,455
al,C111127,Aluminum Measurement,Laboratory Procedure,496
al,C111127,Aluminum Measurement,Laboratory Procedure,626
al,C111127,Aluminum Measurement,Laboratory Procedure,722
individualized,C60729,Individualized,Qualitative Concept,787
cancer therapy,C16212,Cancer Therapeutic Procedure,Therapeutic or Preventive Procedure,802
targeted therapy,C93352,Targeted Therapy,Therapeutic or Preventive Procedure,824
characterization,C62606,Characterization,Activity,843
individual,C17719,Individual,Human,863
tumors,C98275,Tumor Mass,Finding,874
alterations,C28344,Alteration,Conceptual Entity,891
response,C25755,Response,Phenomenon or Process,906
essential,C71578,Essential,Finding,931
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,956
staining,C50753,Staining,Finding,960
indices,C50001,Indicator Device Component,Manufactured Object,969
often,C91247,Often,Intellectual Product,978
defined,C42777,Definition,Intellectual Product,984
percentage,C25613,Percentage,Conceptual Entity,999
total,C25304,Total,Qualitative Concept,1044
counted cells,C48938,Cell Count,Laboratory Procedure,1050
field view,C74298,Field of View,Spatial Concept,1071
prognostic factors,C18959,Prognostic Factor,Clinical Attribute,1108
clinical,C25398,Clinical,Qualitative Concept,1130
al,C111127,Aluminum Measurement,Laboratory Procedure,1164
al,C111127,Aluminum Measurement,Laboratory Procedure,1209
al,C111127,Aluminum Measurement,Laboratory Procedure,1222
studies,C15206,Clinical Study,Research Activity,1250
have,C101282,Have,Classification,1258
potential,C62230,Potential,Idea or Concept,1269
new,C25586,New,Qualitative Concept,1279
applications,C50341,Applicator Device Component,Manufactured Object,1283
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,1309
tissue,C33177,Tissue,Tissue,1313
staining,C50753,Staining,Finding,1320
indices,C50001,Indicator Device Component,Manufactured Object,1329
before,C25629,Prior,Temporal Concept,1337
after,C49639,Status Post,Temporal Concept,1348
therapy,C49236,Therapeutic Procedure,Therapeutic or Preventive Procedure,1354
retrospective study,C53312,Retrospective Study,Research Activity,1365
ovarian cancer,C7431,Malignant Ovarian Neoplasm,Neoplastic Process,1388
cancer patients,C19700,Cancer Patient,Patient or Disabled Group,1396
changes,C25572,Modification,Qualitative Concept,1422
tissue,C33177,Tissue,Tissue,1433
staining,C50753,Staining,Finding,1440
induced,C61367,Induction,Activity,1457
treatment,C15368,Treatment,Health Care Activity,1468
predictors,C75944,Predictor,Clinical Attribute,1493
clinical,C25398,Clinical,Qualitative Concept,1507
outcomes,C20200,Outcome,Finding,1516
baseline indices,C93514,Baseline Indicator,Finding,1530
alone,C48440,Single,Qualitative Concept,1547
al,C111127,Aluminum Measurement,Laboratory Procedure,1565
randomized clinical trial,C15417,Randomized Clinical Trial,Research Activity,1605
phase II clinical trial,C15601,Phase II Trial,Research Activity,1616
phase II clinical trial,C15601,Phase II Trial,Research Activity,1616
breast cancer,C4872,Breast Carcinoma,Neoplastic Process,1644
breast cancer,C4872,Breast Carcinoma,Neoplastic Process,1644
changes,C25572,Modification,Qualitative Concept,1659
Ki67,C123557,Ki67 Measurement,Laboratory Procedure,1674
index,C25390,Index,Intellectual Product,1679
evaluated,C25214,Evaluation,Activity,1685
biopsied specimens,C18202,Biopsy Specimen,Tissue,1700
after,C49639,Status Post,Temporal Concept,1719
preoperative chemotherapy,C68770,Preoperative Chemotherapy,Therapeutic or Preventive Procedure,1736
guide,C49974,Guide Device Component,Manufactured Object,1779
selection,C48912,Choose,Activity,1789
subsequent,C53286,Next,Temporal Concept,1804
chemotherapy regimen,C62634,Chemotherapy Regimen,Therapeutic or Preventive Procedure,1815
new,C25586,New,Qualitative Concept,1870
applications,C50341,Applicator Device Component,Manufactured Object,1874
may,C106184,May,Qualitative Concept,1887
benefit,C25387,Benefits,Idea or Concept,1891
accurate,C49145,Accuracy,Qualitative Concept,1904
quantification,C48937,Quantitation,Activity,1913
comparison,C49156,Comparison,Activity,1932
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,1946
patterns,C25336,Pattern,Spatial Concept,1950
before,C25629,Prior,Temporal Concept,1959
after,C49639,Status Post,Temporal Concept,1970
treatment,C15368,Treatment,Health Care Activity,1976
comparison,C49156,Comparison,Activity,2005
two,C66833,Two,Quantitative Concept,2019
indices,C50001,Indicator Device Component,Manufactured Object,2023
average,C37917,Average,Quantitative Concept,2036
over,C65018,Over,Qualitative Concept,2044
tumor,C98275,Tumor Mass,Finding,2066
heterogeneity,C28359,Heterogeneity,Qualitative Concept,2083
al,C111127,Aluminum Measurement,Laboratory Procedure,2109
One,C66832,One,Quantitative Concept,2123
greatest,C25258,Most,Qualitative Concept,2134
challenges,C78166,Challenge,Activity,2143
quantification,C48937,Quantitation,Activity,2161
staining,C50753,Staining,Finding,2179
indices,C50001,Indicator Device Component,Manufactured Object,2188
selection,C48912,Choose,Activity,2203
fields,C25507,Data Field,Conceptual Entity,2216
presence,C25626,Present,Qualitative Concept,2230
tumor,C98275,Tumor Mass,Finding,2248
number,C25337,Number,Quantitative Concept,2271
methods,C71460,Method,Conceptual Entity,2281
have,C101282,Have,Classification,2289
fields view,C74298,Field of View,Spatial Concept,2318
quantification,C48937,Quantitation,Activity,2337
al,C111127,Aluminum Measurement,Laboratory Procedure,2362
methods,C71460,Method,Conceptual Entity,2411
often,C91247,Often,Intellectual Product,2419
highly,C25227,High,Qualitative Concept,2445
active,C45329,Active,Qualitative Concept,2452
regions,C41129,Region,Spatial Concept,2459
spots',C19744,Hot Spot,Conceptual Entity,2480
multiple,C17648,Multiple,Qualitative Concept,2502
fields,C25507,Data Field,Conceptual Entity,2511
regions,C41129,Region,Spatial Concept,2531
leading,C25629,Prior,Temporal Concept,2540
measurements,C37894,Measurable,Idea or Concept,2567
makes,C25392,Manufacturer,Intellectual Product,2586
inferences,C75591,Inference,Activity,2592
biased,C28232,Bias,Idea or Concept,2603
